Quarter,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade and Accommodation,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific, Technical, Administrative and Support Services",Public Administration and Safety,Education and Training,Health Care and Social Assistance,"Arts, Recreation and Other Services"
2003Q1,158.4,4,281,13.3,138.3,90.3,316.3,88.7,34.7,52.1,30.8,188.8,92.1,151.5,173,111.7
2003Q2,153.8,4.1,281.5,13.5,138.5,89.8,316.2,88.4,36,51.1,30.1,184.3,96.5,158.8,175.8,109.9
2003Q3,148.2,4.8,272.9,13,148.6,95.8,315.8,96.1,36.2,56,30.7,188.3,98.8,167.5,174.1,111.9
2003Q4,154.1,4.5,276.2,15.9,152.2,95,320.2,97.9,37.3,60.6,32.1,196.5,102.2,156.6,171.2,115.3
2004Q1,147.7,4.2,284.7,14.7,157.1,97.8,311.4,99.2,37.1,60.2,32.4,198.4,96.5,158,174.4,112.3
2004Q2,140.1,4.3,286.8,14.8,154.9,105.9,310.5,96.4,36.9,59.2,32.9,200.6,98.6,165.9,172.8,110.6
2004Q3,150.8,4.7,289.3,15.2,153.6,102.8,307.9,95,37,60.8,34.1,207.4,100.6,169.9,176,113.7
2004Q4,154,6.3,288.4,15.4,162,111.9,312.3,102.3,39.2,59.9,34.8,212.3,106.2,171.7,184.7,118.2
2005Q1,141.6,5.2,287.1,15.7,163.5,109.8,304.4,104.2,37.3,58.3,35.3,215.4,105.3,168.8,188.2,117.4
2005Q2,135.4,5.6,273.2,13.3,162.9,107.8,311.2,98.1,37.3,68.1,36.3,220,111,172.7,183.6,119.4
2005Q3,145.6,5.6,275.3,13.5,169.8,108.7,325.6,94.1,36.6,66,36.7,222.4,111.2,169.8,182.6,122.2
2005Q4,153.3,6.8,279.8,14.5,171.4,103.6,329.5,98.4,38.4,67.6,36.1,219.7,111.5,170.2,183.6,125
2006Q1,153.5,6.3,278.8,13.5,180.9,107.1,320.4,90.7,36.9,71,37.4,225.7,116.3,168.3,185.3,121
2006Q2,144.3,5.6,279.8,12.8,185.8,106.2,312.5,93.3,37.8,73.1,37.8,227.9,116.1,175.8,197.2,114.6
2006Q3,143.8,6.6,264.4,13.9,193.4,97.5,329.2,99.4,39,70.2,38.3,231.3,108.7,169.1,193.6,116.1
2006Q4,152.7,7.2,272.9,14.4,196.7,87.1,347.1,101.4,40.4,66.1,37,224.3,116.2,167.9,194.1,119.7
2007Q1,149.7,7.8,285,14.1,191.8,92.7,340.4,92.9,38.5,68.6,36.9,223,116.7,168.2,201,119.4
2007Q2,147.7,6.7,264.4,13.1,194.7,98.5,342.2,95.1,38.2,72.7,38.2,230.5,117.4,178.2,197.5,116.6
2007Q3,149.6,6.4,265.7,14.6,182.8,102.5,340.3,96.5,38.3,71.1,38,229.1,113.8,178,199.3,115.8
2007Q4,153,6.3,273.4,14.8,188.1,103.9,353.9,96.8,39.1,71.1,38.9,234.7,118.3,171.4,202.3,121.7
2008Q1,152.9,5.8,278.7,16.9,180.3,97.2,336.3,98,38.7,70.3,37.3,226.3,110.5,167.8,199.3,121.1
2008Q2,143.4,5.2,266.5,17.6,183.9,97.8,346,100.1,40.3,71.1,38.7,233.7,106.5,181.2,201.1,125.2
2008Q3,137.1,5.5,272.7,17.8,180.7,100.2,339.9,99.8,40.4,67.5,38.7,233.7,110,186,204.4,122.9
2008Q4,144,6.3,267.6,16.7,181.9,103,353.2,102.6,40.8,65,40.1,242.4,116.2,183.1,207.3,127.9
2009Q1,144.7,6.2,255,16.5,185.7,92.9,338.9,91.5,39.5,63.8,44.6,241.7,108.5,175.7,217.6,124.5
2009Q2,132.8,6.4,257.5,14.9,184.8,102.2,332.4,90.8,40.1,70.8,36.5,242.4,112.4,181.6,218.9,115.7
2009Q3,133.9,7.1,244.5,14,170,101.3,325.6,96.5,40.2,69,37.8,231.5,120.4,187.5,217.3,118.5
2009Q4,144.4,7.3,238.2,13,174.9,104.2,326.4,95.4,42.9,68.6,36.7,241.2,120.9,188.7,223.5,115.2
2010Q1,146.6,7,247,15.8,177.1,108.2,324.7,92.2,41.8,62,35.6,228.7,120.9,184.6,220.5,124
2010Q2,142.1,6.7,237.5,15,180.8,107.6,319.9,89,43,62.1,37.3,231.7,122.5,197,220.1,121.9
2010Q3,145.9,7.2,244.1,18,170.5,104.9,326,93.9,44.1,60.3,37.1,235.7,121.3,192.8,220.2,124.8
2010Q4,145.8,6.7,254.8,18.4,176.1,105.8,332.6,90.8,42.9,62.5,35.5,242.7,121.6,178.4,230.4,121.2
2011Q1,157.9,6.6,248.5,16.5,161.8,112.1,343.6,95.1,42.9,60.8,34.3,241.3,119.7,192,225.2,117.3
2011Q2,152.1,8.1,242.8,16.7,167.4,106.6,318.8,91.3,45.1,67.6,37.4,240,122.2,204.1,227,126
2011Q3,144.9,7.3,242,16.3,170.5,107.5,316.7,95.1,44.3,67.6,39,236.8,123,203.3,229.5,125.2
2011Q4,149.8,6.6,254.1,16.8,174.8,108.5,326.6,98.8,40.6,65.6,34.9,241.4,125,198,231.2,123.9
2012Q1,148.7,6.5,253.8,17.3,170.5,95.2,328.5,101.8,42.8,68.3,37.7,243,119.8,191.3,225.9,138
